(-21260;2958;816;)
(-21259;2968;808;)
(-21252;2963;812;)
(-21251;2959;792;)
(-21247;2970;841;)
(-21247;2967;821;)
(-21246;2959;848;)
(-21246;2974;813;)
(-21244;2955;802;)
(-21243;2935;833;)
(-21242;2934;819;)
(-21242;2957;794;)
(-21239;2972;801;)
(-21238;2941;812;)
(-21238;2963;796;)
(-21234;2948;817;)
(-21234;2973;820;)
(-21233;2941;808;)
(-21233;2965;822;)
(-21233;2991;786;)
(-21233;2963;826;)
(-21232;2981;829;)
(-21231;2989;788;)
(-21231;2954;789;)
(-21231;2965;832;)
(-21230;2986;807;)
(-21229;2980;790;)
(-21229;2970;828;)
(-21229;2926;813;)
(-21228;2999;791;)
(-21228;2969;811;)
(-21228;2946;831;)
(-21225;2968;823;)
(-21224;2946;789;)
(-21224;2993;777;)
(-21224;2922;815;)
(-21223;2982;801;)
(-21223;2952;831;)
(-21222;2969;817;)
(-21222;2981;790;)
(-21222;2943;821;)
(-21220;2979;804;)
(-21220;2945;838;)
(-21219;2961;784;)
(-21219;2984;792;)
(-21219;2978;799;)
(-21219;2932;810;)
(-21218;2977;782;)
(-21217;2980;1019;)
(-21217;2933;800;)
(-21217;2983;788;)
(-21216;2938;822;)
(-21216;2951;799;)
(-21215;2980;787;)
(-21214;2946;797;)
(-21214;2952;787;)
(-21214;2977;915;)
(-21214;3003;779;)
(-21213;2995;783;)
(-21212;2973;812;)
(-21212;2959;824;)
(-21211;2951;779;)
(-21211;3001;798;)
(-21211;2943;795;)
(-21211;2992;784;)
(-21210;2974;903;)
(-21210;2996;773;)
(-21209;2976;815;)
(-21208;2932;754;)
(-21208;2982;802;)
(-21208;2943;799;)
(-21208;2993;783;)
(-21207;2944;1095;)
(-21207;2943;790;)
(-21206;2946;803;)
(-21206;2995;794;)
(-21205;2926;749;)
(-21205;2954;817;)
(-21205;3004;785;)
(-21199;2970;843;)
(-21198;2968;830;)
(-21197;2978;824;)
(-21197;3004;784;)
(-21196;2938;759;)
(-21196;2968;812;)
(-21195;2924;830;)
(-21194;2926;831;)
(-21194;2953;815;)
(-21193;2982;823;)
(-21191;2945;829;)
(-21190;2953;819;)
(-21190;2939;823;)
(-21181;2940;820;)
(-21180;2940;825;)
(-21179;2978;838;)
(-21179;2981;844;)
(-21177;2945;814;)
(-20918;3033;1145;)
(-20667;3073;1470;)
(-20442;3102;1756;)
(14553;2919;889;)
(14541;3024;657;)
(14539;3290;167;)
(14537;2962;829;)
(14536;2995;755;)
(14525;3308;179;)
(14518;3313;273;)
(14512;3310;402;)
(14505;3290;-445;)
(14500;3121;918;)
(14486;3106;1061;)
(14417;3290;604;)
(14289;3830;-154;)
(14266;3309;1239;)
(14265;3324;580;)
(14265;3303;1268;)
(14263;3327;565;)
(14263;3297;1273;)
(14262;3250;1351;)
(14261;3311;1256;)
(14261;3301;1212;)
(14259;3307;394;)
(14259;3334;589;)
(14257;3254;1306;)
(14257;3300;1213;)
(14256;3308;373;)
(14255;3283;1180;)
(14254;3279;1155;)
(14254;3293;1284;)
(14253;3317;363;)
(14253;3315;581;)
(14253;3252;1273;)
(14252;3313;1253;)
(14251;3291;1178;)
(14251;3291;1168;)
(14250;3312;331;)
(14249;3308;530;)
(14248;3312;427;)
(14248;3292;815;)
(14248;3298;1183;)
(14248;3324;1187;)
(14247;3317;583;)
(14246;3300;1196;)
(14246;3304;1218;)
(14245;3322;601;)
(14245;3275;1203;)
(14245;3306;1231;)
(14244;3287;1130;)
(14244;3300;1276;)
(14244;3287;1297;)
(14243;3313;575;)
(14243;3325;488;)
(14243;3263;1268;)
(14243;3312;1180;)
(14243;3337;1194;)
(14242;3305;1224;)
(14241;3301;1284;)
(14241;3322;1231;)
(14240;3321;317;)
(14240;3306;517;)
(14240;3307;1302;)
(14240;3339;1198;)
(14239;3299;792;)
(14238;3310;455;)
(14238;3311;1291;)
(14238;3328;1184;)
(14238;3333;1208;)
(14237;3320;245;)
(14237;3299;511;)
(14237;3327;644;)
(14237;3334;1189;)
(14236;3315;494;)
